epoch,train_loss,train_acc,test_loss,test_acc
1,1.142415984471639,0.4395833333333333,1.2683461527029674,0.3333333333333333
2,0.8719676772753397,0.6416666666666667,0.977965239683787,0.5583333333333333
3,0.7067474087079366,0.7166666666666667,0.9317843039830526,0.6416666666666667
4,0.5589825510978699,0.7770833333333333,1.1867618163426716,0.625
5,0.5477734605471293,0.80625,0.9068980395793915,0.6583333333333333
6,0.45114325086275736,0.80625,0.7972336808840433,0.7
7,0.5023505866527558,0.8020833333333334,1.1644736250241599,0.6833333333333333
8,0.47125383814175925,0.8166666666666667,1.2608218550682069,0.6083333333333333
9,0.5056343793869018,0.8083333333333333,1.2143002986907958,0.6666666666666666
10,0.39506240586439767,0.8395833333333333,1.2082290967305502,0.6
