epoch,epoch_time_seconds,train_loss,train_acc,test_loss,test_acc
1,20.892925262451172,0.26634418512384095,0.915,0.09501405023038387,0.9633333333333334
2,15.898899793624878,0.0791548345113794,0.9733333333333334,0.13016841312249502,0.9633333333333334
3,14.94858980178833,0.04185280721013745,0.9908333333333333,0.1293068888783455,0.9566666666666667
4,15.142534732818604,0.040829038669665654,0.9883333333333333,0.12236784153307477,0.9633333333333334
5,15.316637992858887,0.02998993782326579,0.9883333333333333,0.09890461458514134,0.9633333333333334
6,15.384731531143188,0.027954860045574605,0.9925,0.08666299734264613,0.9766666666666667
7,15.402637720108032,0.013943779872109492,0.9958333333333333,0.12758930051796294,0.96
8,16.76038408279419,0.012287497166544198,0.995,0.09884984587629636,0.97
9,15.310004711151123,0.013827781377670666,0.9958333333333333,0.10757142290472985,0.9633333333333334
10,15.31195878982544,0.02481985181880494,0.9933333333333333,0.18090284273028373,0.9433333333333334
11,15.254566192626953,0.030124071631580592,0.9908333333333333,0.17684250606223942,0.9433333333333334
12,15.11328125,0.04584086375311017,0.9858333333333333,0.14733997635077686,0.96
13,15.087535619735718,0.018925495759273568,0.9966666666666667,0.10641093085209528,0.9633333333333334
14,15.131662845611572,0.01800677554526677,0.9941666666666666,0.17116964201132456,0.9433333333333334
15,15.14099907875061,0.013396175251497576,0.995,0.16643678774436316,0.9566666666666667
16,15.14546799659729,0.012604939105610053,0.9958333333333333,0.14007657986444733,0.9566666666666667
17,15.132852554321289,0.028987098587676882,0.9908333333333333,0.23075288246075312,0.9233333333333333
18,15.165592670440674,0.01421405976638198,0.9958333333333333,0.1857875722188813,0.96
19,15.032448530197144,0.01673343017542114,0.9933333333333333,0.15565605662763118,0.96
20,15.02997636795044,0.03416448945024361,0.9891666666666666,0.17115550660217801,0.95
