epoch,epoch_time_seconds,train_loss,train_acc,test_loss,test_acc
1,16.884135007858276,0.3033365048468113,0.8941666666666667,0.19685044263179102,0.9333333333333333
2,16.302353858947754,0.13868659208218256,0.9541666666666667,0.17871805937339863,0.9333333333333333
3,15.875218391418457,0.0697523968666792,0.9791666666666666,0.20947405050198237,0.93
4,15.710281610488892,0.05159555267542601,0.98,0.13717335134278982,0.9533333333333334
5,15.741320610046387,0.07188319609810909,0.9791666666666666,0.2232239213772118,0.94
6,15.738870859146118,0.05787604164332152,0.9833333333333333,0.1321458694905353,0.9466666666666667
7,15.886357069015503,0.044072924982756376,0.9866666666666667,0.15444974724203347,0.9533333333333334
8,15.697250843048096,0.03134779301782449,0.9891666666666666,0.19252352883971374,0.9366666666666666
9,15.667052984237671,0.03053888976884385,0.9875,0.1804588401550427,0.95
10,15.727144241333008,0.044793609607343875,0.985,0.21519525754265487,0.94
11,15.953009128570557,0.04598656541667879,0.9816666666666667,0.17906289969881375,0.9466666666666667
12,15.729546070098877,0.046296451576054096,0.9866666666666667,0.16018549998601278,0.9466666666666667
13,15.890919923782349,0.03970397064772745,0.9866666666666667,0.17116080944736797,0.9533333333333334
14,15.792436838150024,0.08146383240818977,0.9733333333333334,0.22659861757109562,0.93
15,16.055544137954712,0.038993904491265614,0.9858333333333333,0.16695471390460928,0.9533333333333334
16,16.60438108444214,0.026981283420075972,0.9933333333333333,0.1899441785334299,0.95
17,17.201308727264404,0.029244371065869926,0.9925,0.17539892494678497,0.9533333333333334
18,16.707546949386597,0.015560349577572196,0.9975,0.14544113606214523,0.9666666666666667
19,16.09867238998413,0.011947444654069841,0.995,0.10892487863699594,0.9733333333333334
20,15.696576833724976,0.012417972577968612,0.9975,0.15753890372502308,0.97
